Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,20,Sat,2017-01-14,20:00,Toulouse,0–1,Nantes,11023,Stadium Municipal,Ruddy Buquet,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Nancy,1–0,Bastia,15423,Stade Marcel Picot,Karim Abed,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Lorient,3–1,Guingamp,12463,Stade Yves Allainmat - Le Moustoir,Sébastien Desiage,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Montpellier,1–1,Dijon,14539,Stade de la Mosson,Jérôme Brisard,Match Report,
Regular Season,20,Sun,2017-01-15,15:00,Nice,0–0,Metz,21502,Stade de Nice,Bartolomeu Varela,Match Report,
Regular Season,20,Sun,2017-01-15,17:00,Caen,3–2,Lyon,18935,Stade Michel d'Ornano,Franck Schneider,Match Report,
Regular Season,20,Sun,2017-01-15,21:00,Marseille,1–4,Monaco,43814,Orange Vélodrome,Clément Turpin,Match Report,

Regular Season,17,Wed,2017-01-18,20:00,Nantes,1–0,Caen,17818,Stade de la Beaujoire - Louis Fonteneau,Jérôme Miguelgorry,Match Report,

Regular Season,21,Fri,2017-01-20,20:45,Bastia,1–1,Nice,9757,Stade Armand Césari,Clément Turpin,Match Report,
Regular Season,21,Sat,2017-01-21,17:00,Nantes,0–2,Paris S-G,32858,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
Regular Season,21,Sat,2017-01-21,20:00,Metz,2–0,Montpellier,11550,Stade Saint-Symphorien,Olivier Thual,Match Report,
Regular Season,21,Sat,2017-01-21,20:00,Bordeaux,1–0,Toulouse,17323,Stade Matmut-Atlantique,François Letexier,Match Report,
Regular Season,21,Sat,2017-01-21,20:00,Dijon,0–0,Lille,7828,Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
Regular Season,21,Sat,2017-01-21,20:00,Guingamp,1–1,Rennes,16028,Stade du Roudourou,Tony Chapron,Match Report,
Regular Season,21,Sun,2017-01-22,15:00,Monaco,4–0,Lorient,5549,Stade Louis II.,Amaury Delerue,Match Report,
Regular Season,21,Sun,2017-01-22,17:00,Saint-Étienne,2–1,Angers,20456,Stade Geoffroy-Guichard,Benoît Bastien,Match Report,
Regular Season,21,Sun,2017-01-22,21:00,Lyon,3–1,Marseille,48147,Groupama Stadium,Ruddy Buquet,Match Report,

Regular Season,22,Fri,2017-01-27,20:45,Marseille,5–1,Montpellier,28527,Orange Vélodrome,Tony Chapron,Match Report,
Regular Season,22,Sat,2017-01-28,17:00,Lyon,1–2,Lille,35479,Groupama Stadium,Johan Hamel,Match Report,
Regular Season,22,Sat,2017-01-28,20:00,Lorient,2–3,Dijon,9762,Stade Yves Allainmat - Le Moustoir,Olivier Thual,Match Report,
Regular Season,22,Sat,2017-01-28,20:00,Rennes,1–1,Nantes,23664,Roazhon Park,Mikael Lesage,Match Report,
Regular Season,22,Sat,2017-01-28,20:00,Angers,2–1,Metz,10540,Stade Raymond Kopa,Karim Abed,Match Report,
Regular Season,22,Sat,2017-01-28,20:00,Bastia,1–1,Caen,9350,Stade Armand Césari,Amaury Delerue,Match Report,
Regular Season,22,Sat,2017-01-28,20:00,Nancy,0–2,Bordeaux,16589,Stade Marcel Picot,Jérôme Brisard,Match Report,
Regular Season,22,Sun,2017-01-29,15:00,Nice,3–1,Guingamp,20063,Stade de Nice,Jérôme Miguelgorry,Match Report,
Regular Season,22,Sun,2017-01-29,17:00,Toulouse,0–3,Saint-Étienne,12950,Stadium Municipal,Bartolomeu Varela,Match Report,
Regular Season,22,Sun,2017-01-29,21:00,Paris S-G,1–1,Monaco,47238,Parc des Princes,Franck Schneider,Match Report,

Regular Season,23,Fri,2017-02-03,20:45,Metz,1–0,Marseille,21011,Stade Saint-Symphorien,Mikael Lesage,Match Report,
Regular Season,23,Sat,2017-02-04,17:00,Monaco,3–0,Nice,16049,Stade Louis II.,Benoît Bastien,Match Report,
Regular Season,23,Sat,2017-02-04,20:00,Montpellier,2–1,Bastia,8960,Stade de la Mosson,Olivier Thual,Match Report,
Regular Season,23,Sat,2017-02-04,20:00,Dijon,1–3,Paris S-G,13416,Stade Gaston Gérard,Amaury Delerue,Match Report,
Regular Season,23,Sat,2017-02-04,20:00,Bordeaux,1–1,Rennes,16588,Stade Matmut-Atlantique,Sébastien Desiage,Match Report,
Regular Season,23,Sat,2017-02-04,20:00,Lille,0–1,Lorient,38153,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
Regular Season,23,Sat,2017-02-04,20:00,Guingamp,0–1,Caen,14428,Stade du Roudourou,Johan Hamel,Match Report,
Regular Season,23,Sun,2017-02-05,15:00,Toulouse,4–0,Angers,15303,Stadium Municipal,Nicolas Rainville,Match Report,
Regular Season,23,Sun,2017-02-05,17:00,Nantes,0–2,Nancy,20250,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
Regular Season,23,Sun,2017-02-05,21:00,Saint-Étienne,2–0,Lyon,37029,Stade Geoffroy-Guichard,Tony Chapron,Match Report,

Regular Season,24,Tue,2017-02-07,19:00,Montpellier,1–2,Monaco,12433,Stade de la Mosson,Mikael Lesage,Match Report,
Regular Season,24,Tue,2017-02-07,19:00,Caen,0–4,Bordeaux,15542,Stade Michel d'Ornano,Benoît Bastien,Match Report,
Regular Season,24,Tue,2017-02-07,21:00,Paris S-G,2–1,Lille,42885,Parc des Princes,François Letexier,Match Report,
Regular Season,24,Wed,2017-02-08,19:00,Lyon,4–0,Nancy,28349,Groupama Stadium,Bartolomeu Varela,Match Report,
Regular Season,24,Wed,2017-02-08,19:00,Lorient,1–1,Toulouse,13230,Stade Yves Allainmat - Le Moustoir,Karim Abed,Match Report,
Regular Season,24,Wed,2017-02-08,19:00,Angers,0–0,Rennes,10897,Stade Raymond Kopa,Clément Turpin,Match Report,
Regular Season,24,Wed,2017-02-08,19:00,Metz,2–1,Dijon,11971,Stade Saint-Symphorien,Sébastien Desiage,Match Report,
Regular Season,24,Wed,2017-02-08,19:00,Nice,1–0,Saint-Étienne,18225,Stade de Nice,Amaury Delerue,Match Report,
Regular Season,24,Wed,2017-02-08,21:00,Marseille,2–0,Guingamp,28560,Orange Vélodrome,Benoît Millot,Match Report,

Regular Season,25,Fri,2017-02-10,20:45,Bordeaux,0–3,Paris S-G,37823,Stade Matmut-Atlantique,Nicolas Rainville,Match Report,
Regular Season,25,Sat,2017-02-11,17:00,Guingamp,2–1,Lyon,15242,Stade du Roudourou,Franck Schneider,Match Report,
Regular Season,25,Sat,2017-02-11,20:00,Toulouse,4–1,Bastia,11218,Stadium Municipal,Jérôme Miguelgorry,Match Report,
Regular Season,25,Sat,2017-02-11,20:00,Dijon,2–0,Caen,9614,Stade Gaston Gérard,Jérôme Brisard,Match Report,
Regular Season,25,Sat,2017-02-11,20:00,Lille,1–2,Angers,25731,Stade Pierre-Mauroy,Bartolomeu Varela,Match Report,
Regular Season,25,Sat,2017-02-11,20:00,Nancy,0–3,Montpellier,17611,Stade Marcel Picot,Sébastien Desiage,Match Report,
Regular Season,25,Sat,2017-02-11,20:00,Monaco,5–0,Metz,6069,Stade Louis II.,Olivier Thual,Match Report,
Regular Season,25,Sun,2017-02-12,15:00,Rennes,2–2,Nice,25665,Roazhon Park,Johan Hamel,Match Report,
Regular Season,25,Sun,2017-02-12,17:00,Saint-Étienne,4–0,Lorient,25498,Stade Geoffroy-Guichard,Benoît Millot,Match Report,
Regular Season,25,Sun,2017-02-12,21:00,Nantes,3–2,Marseille,32471,Stade de la Beaujoire - Louis Fonteneau,François Letexier,Match Report,

Regular Season,26,Fri,2017-02-17,20:45,Bastia,1–1,Monaco,10059,Stade Armand Césari,Clément Turpin,Match Report,
Regular Season,26,Sat,2017-02-18,17:00,Marseille,2–0,Rennes,45395,Orange Vélodrome,Franck Schneider,Match Report,
Regular Season,26,Sat,2017-02-18,20:00,Angers,1–0,Nancy,10569,Stade Raymond Kopa,Olivier Thual,Match Report,
Regular Season,26,Sat,2017-02-18,20:00,Lorient,0–1,Nice,10537,Stade Yves Allainmat - Le Moustoir,Tony Chapron,Match Report,
Regular Season,26,Sat,2017-02-18,20:00,Metz,1–1,Nantes,13023,Stade Saint-Symphorien,Bartolomeu Varela,Match Report,
Regular Season,26,Sat,2017-02-18,20:00,Caen,0–1,Lille,15897,Stade Michel d'Ornano,Karim Abed,Match Report,
Regular Season,26,Sun,2017-02-19,15:00,Bordeaux,3–0,Guingamp,18724,Stade Matmut-Atlantique,Johan Hamel,Match Report,
Regular Season,26,Sun,2017-02-19,17:00,Lyon,4–2,Dijon,35197,Groupama Stadium,Benoît Millot,Match Report,
Regular Season,26,Sun,2017-02-19,17:00,Montpellier,2–1,Saint-Étienne,12435,Stade de la Mosson,François Letexier,Match Report,
Regular Season,26,Sun,2017-02-19,21:00,Paris S-G,0–0,Toulouse,45492,Parc des Princes,Mikael Lesage,Match Report,

Regular Season,21,Tue,2017-02-21,18:30,Caen,1–0,Nancy,14760,Stade Michel d'Ornano,Nicolas Rainville,Match Report,

Regular Season,27,Fri,2017-02-24,19:00,Nantes,3–1,Dijon,19915,Stade de la Beaujoire - Louis Fonteneau,Tony Chapron,Match Report,
Regular Season,27,Fri,2017-02-24,20:45,Nice,2–1,Montpellier,18998,Stade de Nice,Franck Schneider,Match Report,
Regular Season,27,Sat,2017-02-25,17:00,Guingamp,1–2,Monaco,15912,Stade du Roudourou,Amaury Delerue,Match Report,
Regular Season,27,Sat,2017-02-25,20:00,Rennes,1–0,Lorient,25791,Roazhon Park,Nicolas Rainville,Match Report,
Regular Season,27,Sat,2017-02-25,20:00,Angers,3–0,Bastia,12205,Stade Raymond Kopa,Karim Abed,Match Report,
Regular Season,27,Sat,2017-02-25,20:00,Lille,2–3,Bordeaux,28772,Stade Pierre-Mauroy,Sébastien Desiage,Match Report,
Regular Season,27,Sat,2017-02-25,20:00,Nancy,0–0,Toulouse,16323,Stade Marcel Picot,Benoît Millot,Match Report,
Regular Season,27,Sun,2017-02-26,15:00,Saint-Étienne,0–1,Caen,26196,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
Regular Season,27,Sun,2017-02-26,17:00,Lyon,5–0,Metz,32488,Groupama Stadium,François Letexier,Match Report,
Regular Season,27,Sun,2017-02-26,21:00,Marseille,1–5,Paris S-G,65252,Orange Vélodrome,Benoît Bastien,Match Report,

Regular Season,24,Wed,2017-03-01,19:30,Bastia,2–2,Nantes,11539,Stade Armand Césari,Ruddy Buquet,Match Report,

Regular Season,28,Fri,2017-03-03,20:45,Bordeaux,1–1,Lyon,31511,Stade Matmut-Atlantique,Franck Schneider,Match Report,
Regular Season,28,Sat,2017-03-04,17:00,Paris S-G,1–0,Nancy,47032,Parc des Princes,Antony Gautier,Match Report,
Regular Season,28,Sat,2017-03-04,20:00,Montpellier,1–1,Guingamp,9182,Stade de la Mosson,Jérôme Brisard,Match Report,
Regular Season,28,Sat,2017-03-04,20:00,Caen,2–3,Angers,16564,Stade Michel d'Ornano,Tony Chapron,Match Report,
Regular Season,28,Sat,2017-03-04,20:00,Dijon,0–1,Nice,10209,Stade Gaston Gérard,Bartolomeu Varela,Match Report,
Regular Season,28,Sat,2017-03-04,20:00,Metz,1–1,Rennes,16153,Stade Saint-Symphorien,Benoît Millot,Match Report,
Regular Season,28,Sat,2017-03-04,20:00,Bastia,0–0,Saint-Étienne,10174,Stade Armand Césari,Nicolas Rainville,Match Report,
Regular Season,28,Sun,2017-03-05,15:00,Lorient,1–4,Marseille,13757,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
Regular Season,28,Sun,2017-03-05,17:00,Toulouse,1–1,Lille,12621,Stadium Municipal,Johan Hamel,Match Report,
Regular Season,28,Sun,2017-03-05,21:00,Monaco,4–0,Nantes,7649,Stade Louis II.,Mikael Lesage,Match Report,

Regular Season,29,Fri,2017-03-10,19:00,Nice,2–2,Caen,23640,Stade de Nice,François Letexier,Match Report,
Regular Season,29,Fri,2017-03-10,20:45,Marseille,3–0,Angers,33954,Orange Vélodrome,Franck Schneider,Match Report,
Regular Season,29,Sat,2017-03-11,16:45,Monaco,2–1,Bordeaux,11009,Stade Louis II.,Ruddy Buquet,Match Report,
Regular Season,29,Sat,2017-03-11,20:00,Nancy,1–2,Lille,17500,Stade Marcel Picot,Amaury Delerue,Match Report,
Regular Season,29,Sat,2017-03-11,20:00,Montpellier,2–3,Nantes,10722,Stade de la Mosson,Karim Abed,Match Report,
Regular Season,29,Sat,2017-03-11,20:00,Rennes,1–1,Dijon,19067,Roazhon Park,Olivier Thual,Match Report,
Regular Season,29,Sat,2017-03-11,20:00,Guingamp,5–0,Bastia,14419,Stade du Roudourou,Antony Gautier,Match Report,
Regular Season,29,Sun,2017-03-12,15:00,Saint-Étienne,2–2,Metz,24184,Stade Geoffroy-Guichard,Jérôme Miguelgorry,Match Report,
Regular Season,29,Sun,2017-03-12,17:00,Lyon,4–0,Toulouse,34463,Groupama Stadium,Benoît Bastien,Match Report,
Regular Season,29,Sun,2017-03-12,21:00,Lorient,1–2,Paris S-G,13643,Stade Yves Allainmat - Le Moustoir,Tony Chapron,Match Report,

Regular Season,30,Fri,2017-03-17,19:00,Metz,1–0,Bastia,17006,Stade Saint-Symphorien,Johan Hamel,Match Report,
Regular Season,30,Fri,2017-03-17,20:45,Lille,0–0,Marseille,40485,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
Regular Season,30,Sat,2017-03-18,17:00,Nantes,1–1,Nice,25854,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Match Report,
Regular Season,30,Sat,2017-03-18,20:00,Angers,3–0,Guingamp,13490,Stade Raymond Kopa,Jérôme Brisard,Match Report,
Regular Season,30,Sat,2017-03-18,20:00,Bordeaux,5–1,Montpellier,19341,Stade Matmut-Atlantique,Bartolomeu Varela,Match Report,
Regular Season,30,Sat,2017-03-18,20:00,Toulouse,0–0,Rennes,15635,Stadium Municipal,Sébastien Desiage,Match Report,
Regular Season,30,Sat,2017-03-18,20:00,Nancy,2–3,Lorient,16549,Stade Marcel Picot,Franck Schneider,Match Report,
Regular Season,30,Sun,2017-03-19,15:00,Caen,0–3,Monaco,19399,Stade Michel d'Ornano,Antony Gautier,Match Report,
Regular Season,30,Sun,2017-03-19,17:00,Dijon,0–1,Saint-Étienne,12960,Stade Gaston Gérard,Benoît Bastien,Match Report,
Regular Season,30,Sun,2017-03-19,21:00,Paris S-G,2–1,Lyon,47253,Parc des Princes,Clément Turpin,Match Report,

Regular Season,31,Fri,2017-03-31,19:00,Guingamp,1–0,Nancy,14279,Stade du Roudourou,Jérôme Miguelgorry,Match Report,
Regular Season,31,Sat,2017-04-01,17:00,Marseille,1–1,Dijon,36116,Orange Vélodrome,Johan Hamel,Match Report,
Regular Season,31,Sat,2017-04-01,19:00,Bastia,0–1,Lille,9908,Stade Armand Césari,Benoît Millot,Match Report,
Regular Season,31,Sun,2017-04-02,15:00,Rennes,1–1,Lyon,23673,Roazhon Park,Antony Gautier,Match Report,
Regular Season,31,Sun,2017-04-02,17:00,Lorient,1–0,Caen,14149,Stade Yves Allainmat - Le Moustoir,Karim Abed,Match Report,
Regular Season,31,Sun,2017-04-02,17:00,Nantes,2–1,Angers,28192,Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Match Report,
Regular Season,31,Sun,2017-04-02,17:00,Montpellier,0–1,Toulouse,22217,Stade de la Mosson,Tony Chapron,Match Report,
Regular Season,31,Sun,2017-04-02,21:00,Nice,2–1,Bordeaux,19669,Stade de Nice,Benoît Bastien,Match Report,

Regular Season,16,Wed,2017-04-05,19:00,Metz,0–3,Lyon,,Stade Saint-Symphorien,Ruddy Buquet,Match Report,

Regular Season,32,Fri,2017-04-07,20:45,Lille,1–2,Nice,32107,Stade Pierre-Mauroy,Amaury Delerue,Match Report,
Regular Season,32,Sat,2017-04-08,17:00,Angers,0–1,Monaco,15235,Stade Raymond Kopa,Bartolomeu Varela,Match Report,
Regular Season,32,Sat,2017-04-08,20:00,Bordeaux,3–0,Metz,19835,Stade Matmut-Atlantique,Sébastien Desiage,Match Report,
Regular Season,32,Sat,2017-04-08,20:00,Caen,0–2,Montpellier,17286,Stade Michel d'Ornano,Franck Schneider,Match Report,
Regular Season,32,Sat,2017-04-08,20:00,Dijon,1–2,Bastia,11712,Stade Gaston Gérard,François Letexier,Match Report,
Regular Season,32,Sat,2017-04-08,20:00,Lyon,1–4,Lorient,35595,Groupama Stadium,Nicolas Rainville,Match Report,
Regular Season,32,Sat,2017-04-08,20:00,Nancy,3–0,Rennes,18009,Stade Marcel Picot,Jérôme Brisard,Match Report,
Regular Season,32,Sun,2017-04-09,15:00,Toulouse,0–0,Marseille,29430,Stadium Municipal,Mikael Lesage,Match Report,
Regular Season,32,Sun,2017-04-09,17:00,Saint-Étienne,1–1,Nantes,30134,Stade Geoffroy-Guichard,Clément Turpin,Match Report,
Regular Season,32,Sun,2017-04-09,21:00,Paris S-G,4–0,Guingamp,45944,Parc des Princes,Ruddy Buquet,Match Report,

Regular Season,33,Fri,2017-04-14,20:45,Angers,0–2,Paris S-G,15909,Stade Raymond Kopa,Tony Chapron,Match Report,
Regular Season,33,Sat,2017-04-15,17:00,Nice,3–1,Nancy,22518,Stade de Nice,Mikael Lesage,Match Report,
Regular Season,33,Sat,2017-04-15,20:00,Rennes,2–0,Lille,24056,Roazhon Park,Karim Abed,Match Report,
Regular Season,33,Sat,2017-04-15,20:00,Metz,2–2,Caen,16038,Stade Saint-Symphorien,Bartolomeu Varela,Match Report,
Regular Season,33,Sat,2017-04-15,20:00,Montpellier,2–0,Lorient,9294,Stade de la Mosson,Olivier Thual,Match Report,
Regular Season,33,Sat,2017-04-15,20:00,Guingamp,2–1,Toulouse,15871,Stade du Roudourou,Antony Gautier,Match Report,
Regular Season,33,Sat,2017-04-15,21:00,Monaco,2–1,Dijon,9069,Stade Louis II.,Jérôme Miguelgorry,Match Report,
Regular Season,33,Sun,2017-04-16,15:00,Nantes,0–1,Bordeaux,26373,Stade de la Beaujoire - Louis Fonteneau,François Letexier,Match Report,
Regular Season,33,Sun,2017-04-16,17:00,Bastia,0–0,Lyon,,Stade Armand Césari,Amaury Delerue,Match Report,Match awarded to Lyon
Regular Season,33,Sun,2017-04-16,21:00,Marseille,4–0,Saint-Étienne,54100,Orange Vélodrome,Benoît Millot,Match Report,

Regular Season,31,Tue,2017-04-18,18:30,Metz,2–3,Paris S-G,20693,Stade Saint-Symphorien,Johan Hamel,Match Report,

Regular Season,34,Fri,2017-04-21,20:45,Nancy,0–0,Marseille,20087,Stade Marcel Picot,Nicolas Rainville,Match Report,
Regular Season,34,Sat,2017-04-22,17:00,Paris S-G,2–0,Montpellier,45778,Parc des Princes,Mikael Lesage,Match Report,
Regular Season,34,Sat,2017-04-22,20:00,Caen,0–2,Nantes,15972,Stade Michel d'Ornano,Jérôme Brisard,Match Report,
Regular Season,34,Sat,2017-04-22,20:00,Bordeaux,2–0,Bastia,25487,Stade Matmut-Atlantique,Tony Chapron,Match Report,
Regular Season,34,Sat,2017-04-22,20:00,Lorient,5–1,Metz,14114,Stade Yves Allainmat - Le Moustoir,Antony Gautier,Match Report,
Regular Season,34,Sat,2017-04-22,20:00,Dijon,3–2,Angers,10418,Stade Gaston Gérard,Sébastien Desiage,Match Report,
Regular Season,34,Sat,2017-04-22,20:00,Lille,3–0,Guingamp,28848,Stade Pierre-Mauroy,Clément Turpin,Match Report,
Regular Season,34,Sun,2017-04-23,15:00,Toulouse,1–1,Nice,15232,Stadium Municipal,Franck Schneider,Match Report,
Regular Season,34,Sun,2017-04-23,17:00,Saint-Étienne,1–1,Rennes,,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
Regular Season,34,Sun,2017-04-23,21:15,Lyon,1–2,Monaco,44411,Groupama Stadium,Benoît Bastien,Match Report,

Regular Season,35,Fri,2017-04-28,20:45,Angers,1–2,Lyon,14699,Stade Raymond Kopa,Antony Gautier,Match Report,
Regular Season,35,Sat,2017-04-29,17:00,Monaco,3–1,Toulouse,9169,Stade Louis II.,Mikael Lesage,Match Report,
Regular Season,35,Sat,2017-04-29,20:00,Bastia,1–0,Rennes,,Stade Armand Césari,Jérôme Miguelgorry,Match Report,
Regular Season,35,Sat,2017-04-29,20:00,Montpellier,0–3,Lille,10139,Stade de la Mosson,Benoît Bastien,Match Report,
Regular Season,35,Sat,2017-04-29,20:00,Metz,2–1,Nancy,20009,Stade Saint-Symphorien,François Letexier,Match Report,
Regular Season,35,Sat,2017-04-29,20:00,Guingamp,0–2,Saint-Étienne,15058,Stade du Roudourou,Olivier Thual,Match Report,
Regular Season,35,Sat,2017-04-29,20:00,Nantes,1–0,Lorient,22090,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
Regular Season,35,Sun,2017-04-30,15:00,Caen,1–5,Marseille,20054,Stade Michel d'Ornano,Amaury Delerue,Match Report,
Regular Season,35,Sun,2017-04-30,17:00,Dijon,0–0,Bordeaux,12596,Stade Gaston Gérard,Bartolomeu Varela,Match Report,
Regular Season,35,Sun,2017-04-30,21:00,Nice,3–1,Paris S-G,33190,Stade de Nice,Ruddy Buquet,Match Report,

Regular Season,36,Fri,2017-05-05,20:45,Saint-Étienne,2–2,Bordeaux,30606,Stade Geoffroy-Guichard,Franck Schneider,Match Report,
Regular Season,36,Sat,2017-05-06,17:00,Paris S-G,5–0,Bastia,45826,Parc des Princes,François Letexier,Match Report,
Regular Season,36,Sat,2017-05-06,20:00,Lille,0–2,Metz,28336,Stade Pierre-Mauroy,Olivier Thual,Match Report,
Regular Season,36,Sat,2017-05-06,20:00,Guingamp,4–0,Dijon,13055,Stade du Roudourou,Tony Chapron,Match Report,
Regular Season,36,Sat,2017-05-06,20:00,Toulouse,0–1,Caen,18474,Stadium Municipal,Karim Abed,Match Report,
Regular Season,36,Sat,2017-05-06,20:00,Nancy,0–3,Monaco,19519,Stade Marcel Picot,Ruddy Buquet,Match Report,
Regular Season,36,Sat,2017-05-06,20:00,Lorient,1–1,Angers,15563,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
Regular Season,36,Sun,2017-05-07,15:00,Rennes,1–0,Montpellier,18308,Roazhon Park,Sébastien Desiage,Match Report,
Regular Season,36,Sun,2017-05-07,17:00,Lyon,3–2,Nantes,34473,Groupama Stadium,Mikael Lesage,Match Report,
Regular Season,36,Sun,2017-05-07,21:00,Marseille,2–1,Nice,61685,Orange Vélodrome,Antony Gautier,Match Report,

Regular Season,37,Sun,2017-05-14,21:00,Bordeaux,1–1,Marseille,41265,Stade Matmut-Atlantique,Clément Turpin,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Monaco,4–0,Lille,13152,Stade Louis II.,Benoît Bastien,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Caen,0–1,Rennes,16273,Stade Michel d'Ornano,Benoît Millot,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Montpellier,1–3,Lyon,13923,Stade de la Mosson,François Letexier,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Nice,0–2,Angers,32446,Stade de Nice,Mikael Lesage,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Metz,1–1,Toulouse,16282,Stade Saint-Symphorien,Stéphane Lannoy,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Bastia,2–0,Lorient,,Stade Armand Césari,Ruddy Buquet,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Nantes,4–1,Guingamp,20417,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Dijon,2–0,Nancy,13212,Stade Gaston Gérard,Antony Gautier,Match Report,
Regular Season,37,Sun,2017-05-14,21:00,Saint-Étienne,0–5,Paris S-G,34352,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,

Regular Season,31,Wed,2017-05-17,21:00,Monaco,2–0,Saint-Étienne,14299,Stade Louis II.,Clément Turpin,Match Report,

Regular Season,38,Sat,2017-05-20,21:00,Marseille,1–0,Bastia,55178,Orange Vélodrome,Franck Schneider,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Lorient,1–1,Bordeaux,15884,Stade Yves Allainmat - Le Moustoir,Antony Gautier,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Rennes,2–3,Monaco,26565,Roazhon Park,Saïd Ennjimi,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Nancy,3–1,Saint-Étienne,17054,Stade Marcel Picot,Benoît Millot,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Angers,2–0,Montpellier,11864,Stade Raymond Kopa,Lionel Jaffredo,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Guingamp,1–0,Metz,16200,Stade du Roudourou,Ruddy Buquet,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Lyon,3–3,Nice,50080,Groupama Stadium,Jérôme Miguelgorry,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Lille,3–0,Nantes,28390,Stade Pierre-Mauroy,Sébastien Desiage,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Paris S-G,1–1,Caen,45516,Parc des Princes,Johan Hamel,Match Report,
Regular Season,38,Sat,2017-05-20,21:00,Toulouse,0–0,Dijon,19768,Stadium Municipal,Tony Chapron,Match Report,

French 1/2 Relegation/Promotion Playoffs,,Thu,2017-05-25,20:45,Troyes,2–1,Lorient,14081,Stade de l'Aube,,Match Report,Leg 1 of 2
French 1/2 Relegation/Promotion Playoffs,,Sun,2017-05-28,21:00,Lorient,0–0,Troyes,18000,Stade Yves Allainmat - Le Moustoir,,Match Report,Leg 2 of 2; Troyes won