schlcode,school_enrollment,grade,classize,avgmath,avgverb,disadvantaged,female,religious
31217,116,5,34,48,52,26,0,0
31217,116,5,35,56,69,26,0,0
31217,116,5,34,59,72,26,0,0
31219,47,5,19,31,47,40,0,0
31219,47,5,19,47,54,40,0,0
31220,121,5,38,68,71,11,1,0
31220,121,5,38,76,76,11,1,0
31220,121,5,36,60,66,11,1,0
31222,42,5,21,64,67,44,1,1
31222,42,5,21,62,73,44,1,1
31224,22,5,22,49,52,50,1,1
31232,24,5,12,61,76,6,1,0
31235,100,5,31,75,77,3,1,0
31235,100,5,14,80,76,3,1,0
31235,100,5,28,76,78,3,1,0
31237,48,5,27,87,86,2,1,0
31237,48,5,21,77,83,2,1,0
31238,59,5,29,72,69,6,1,0
31238,59,5,30,69,73,6,1,0
31239,66,5,33,67,78,6,0,0
31239,66,5,33,70,82,6,0,0
31242,89,5,38,69,80,10,0,0
31242,89,5,39,63,71,10,0,0
31243,113,5,39,81,84,0,1,0
31243,113,5,36,77,85,0,1,0
31243,113,5,38,70,84,0,1,0
31250,117,5,38,63,80,7,0,0
31250,117,5,40,67,77,7,0,0
31250,117,5,39,56,70,7,0,0
31252,150,5,37,75,76,4,0,0
31252,150,5,37,73,81,4,0,0
31252,150,5,37,80,83,4,0,0
31253,59,5,26,61,72,23,1,1
31253,59,5,24,53,64,23,1,1
31255,21,5,21,59,61,46,1,1
31256,60,5,30,78,81,5,0,0
31256,60,5,30,79,79,5,0,0
31257,121,5,37,67,69,7,1,0
31257,121,5,36,86,84,7,1,0
31257,121,5,35,84,80,7,1,0
31259,43,5,24,56,77,31,1,1
31260,34,5,15,44,54,30,0,1
31261,130,5,38,65,72,6,0,0
31261,130,5,38,71,77,6,0,0
31261,130,5,37,70,87,6,0,0
31262,45,5,24,78,83,10,0,1
31262,45,5,21,65,82,10,0,1
31265,41,5,27,76,83,5,1,0
41001,36,5,23,81,83,8,1,0
41002,130,5,35,67,78,3,0,0
41002,130,5,37,74,81,3,0,0
41002,130,5,38,66,78,3,0,0
41003,41,5,21,69,73,31,0,1
41003,41,5,20,65,69,31,0,1
41006,15,5,15,68,72,19,1,1
41009,58,5,24,81,82,10,0,1
41009,58,5,24,75,81,10,0,1
41010,45,5,23,72,77,10,1,0
41010,45,5,22,55,61,10,1,0
41012,29,5,29,58,64,33,1,1
41016,11,5,11,53,60,28,1,0
41017,29,5,29,65,65,30,0,1
41018,30,5,30,73,84,1,1,0
41019,27,5,27,79,81,5,0,0
41020,134,5,35,71,74,2,1,0
41020,134,5,33,80,79,2,1,0
41020,134,5,31,63,74,2,1,0
41020,134,5,35,70,81,2,1,0
41023,51,5,24,79,76,11,0,0
41023,51,5,27,72,76,11,0,0
41024,43,5,20,63,86,11,1,0
41024,43,5,23,61,88,11,1,0
41025,52,5,25,70,76,11,0,0
41025,52,5,27,70,78,11,0,0
41029,89,5,30,63,78,0,1,0
41029,89,5,29,66,78,0,1,0
41029,89,5,30,68,82,0,1,0
41030,19,5,19,58,77,0,0,0
41032,107,5,34,80,81,12,0,0
41032,107,5,34,74,72,12,0,0
41032,107,5,31,80,75,12,0,0
41034,73,5,33,72,80,12,0,0
41034,73,5,29,76,80,12,0,0
41035,41,5,21,63,69,21,1,1
41035,41,5,20,61,67,21,1,1
41037,58,5,20,66,69,18,0,0
41037,58,5,22,60,71,18,0,0
41039,32,5,32,58,66,24,0,1
41040,73,5,32,68,78,6,1,0
41040,73,5,31,77,79,6,1,0
41041,21,5,21,73,78,9,0,1
41045,96,5,31,62,68,10,1,0
41045,96,5,34,75,79,10,1,0
41045,96,5,31,68,69,10,1,0
41046,19,5,19,78,77,6,0,0
41058,42,5,22,70,78,16,0,1
41058,42,5,20,65,82,16,0,1
41059,16,5,16,72,79,40,0,1
41060,92,5,29,70,75,10,1,0
41060,92,5,32,67,76,10,1,0
41060,92,5,31,62,71,10,1,0
41061,87,5,35,63,76,12,0,0
41061,87,5,38,54,70,12,0,0
41062,139,5,34,75,72,13,1,0
41062,139,5,28,74,86,13,1,0
41062,139,5,31,64,75,13,1,0
41063,67,5,32,74,79,20,0,1
41063,67,5,35,62,68,20,0,1
41066,22,5,22,59,71,22,0,1
41068,23,5,23,73,78,0,0,0
41071,73,5,36,63,74,3,1,0
41071,73,5,37,69,77,3,1,0
41072,41,5,21,73,79,9,0,1
41072,41,5,20,69,84,9,0,1
41073,119,5,34,73,80,4,0,0
41073,119,5,37,78,82,4,0,0
41073,119,5,38,74,75,4,0,0
41074,20,5,20,72,66,11,0,1
41077,66,5,32,68,72,25,1,0
41077,66,5,34,68,76,25,1,0
41078,226,5,38,78,82,9,1,0
41078,226,5,36,72,74,9,1,0
41078,226,5,35,76,82,9,1,0
41078,226,5,36,69,79,9,1,0
41078,226,5,37,74,75,9,1,0
41079,25,5,25,57,59,34,0,1
41080,43,5,34,50,64,35,0,1
41081,84,5,27,65,72,16,0,0
41081,84,5,29,66,69,16,0,0
41081,84,5,28,70,66,16,0,0
41082,17,5,17,73,70,41,1,1
41083,14,5,14,80,74,54,1,1
41084,68,5,31,74,78,6,0,0
41084,68,5,25,74,77,6,0,0
41085,158,5,37,81,83,4,0,0
41085,158,5,39,81,79,4,0,0
41085,158,5,11,77,77,4,0,0
41085,158,5,36,76,85,4,0,0
41086,188,5,39,74,75,5,1,0
41086,188,5,35,77,76,5,1,0
41086,188,5,38,79,77,5,1,0
41086,188,5,40,75,74,5,1,0
41086,188,5,37,80,80,5,1,0
41087,97,5,34,66,70,9,0,0
41087,97,5,32,67,70,9,0,0
41087,97,5,31,74,72,9,0,0
41089,97,5,42,66,70,18,1,0
41089,97,5,43,58,60,18,1,0
41091,78,5,39,71,73,11,0,1
41091,78,5,39,82,81,11,0,1
41092,28,5,28,57,68,16,1,1
41093,27,5,25,61,70,51,0,1
41094,23,5,23,84,84,3,1,0
41095,51,5,23,84,81,26,1,0
41095,51,5,23,83,80,26,1,0
41096,41,5,20,58,62,36,0,1
41096,41,5,21,67,69,36,0,1
41097,43,5,22,73,80,8,1,1
41097,43,5,21,61,80,8,1,1
41098,38,5,38,38,57,36,1,0
41099,55,5,25,56,64,27,0,0
41099,55,5,30,49,59,27,0,0
41100,62,5,31,63,73,23,1,0
41100,62,5,31,71,66,23,1,0
41101,44,5,23,51,61,43,0,0
41101,44,5,21,46,59,43,0,0
41105,33,5,33,62,76,40,1,1
41106,103,5,35,74,75,4,0,0
41106,103,5,28,85,80,4,0,0
41106,103,5,11,66,74,4,0,0
41108,54,5,27,78,75,20,0,1
41108,54,5,27,71,75,20,0,1
41111,82,5,34,68,79,11,1,0
41111,82,5,28,79,83,11,1,0
41114,23,5,23,73,85,2,0,0
41116,140,5,32,59,71,9,0,0
41116,140,5,38,76,80,9,0,0
41116,140,5,34,69,77,9,0,0
41116,140,5,36,74,79,9,0,0
41118,54,5,25,66,75,4,1,0
41118,54,5,29,81,81,4,1,0
41122,19,5,19,63,76,11,1,0
41125,70,5,30,78,79,10,0,0
41125,70,5,28,81,76,10,0,0
41126,82,5,41,75,82,5,0,0
41126,82,5,41,85,85,5,0,0
41127,56,5,28,75,76,17,0,0
41127,56,5,28,78,73,17,0,0
41129,24,5,24,49,59,33,1,1
41131,47,5,23,79,81,0,1,0
41131,47,5,24,78,80,0,1,0
41132,58,5,28,75,79,0,0,0
41132,58,5,30,84,84,0,0,0
41134,51,5,24,48,48,31,0,0
41134,51,5,27,72,81,31,0,0
41135,157,5,39,80,82,8,1,0
41135,157,5,39,74,77,8,1,0
41135,157,5,40,82,89,8,1,0
41135,157,5,39,75,79,8,1,0
41136,63,5,31,74,78,24,1,0
41136,63,5,32,81,82,24,1,0
41137,134,5,40,84,82,15,0,0
41137,134,5,40,84,89,15,0,0
41137,134,5,40,80,79,15,0,0
41138,173,5,40,72,76,13,0,0
41138,173,5,38,80,80,13,0,0
41138,173,5,40,75,79,13,0,0
41138,173,5,40,73,74,13,0,0
41139,129,5,31,74,69,12,0,0
41139,129,5,28,72,76,12,0,0
41139,129,5,34,72,72,12,0,0
41139,129,5,36,69,75,12,0,0
41140,64,5,26,59,60,40,1,0
41140,64,5,12,54,62,40,1,0
41142,139,5,32,76,76,11,0,0
41142,139,5,37,85,87,11,0,0
41142,139,5,34,83,81,11,0,0
41142,139,5,36,75,75,11,0,0
41143,46,5,22,70,69,40,0,1
41143,46,5,24,55,64,40,0,1
41144,88,5,27,78,73,35,0,1
41144,88,5,31,69,69,35,0,1
41144,88,5,30,73,71,35,0,1
41145,28,5,28,66,72,19,0,1
41146,46,5,22,69,68,41,1,1
41146,46,5,24,64,62,41,1,1
41148,59,5,29,54,59,46,1,1
41148,59,5,30,53,65,46,1,1
41149,127,5,33,72,75,19,0,1
41149,127,5,30,62,70,19,0,1
41149,127,5,32,66,75,19,0,1
41149,127,5,32,72,68,19,0,1
41150,38,5,38,76,84,1,0,0
41153,10,5,10,62,75,0,0,0
41154,17,5,17,77,82,0,1,0
41155,76,5,33,72,80,1,0,0
41155,76,5,31,78,83,1,0,0
41160,126,5,39,69,75,11,0,0
41160,126,5,39,78,80,11,0,0
41160,126,5,38,73,80,11,0,0
41161,166,5,32,73,83,3,0,0
41161,166,5,33,62,77,3,0,0
41161,166,5,34,81,83,3,0,0
41161,166,5,34,73,82,3,0,0
41161,166,5,33,75,79,3,0,0
41162,84,5,28,50,66,9,0,0
41162,84,5,30,66,69,9,0,0
41162,84,5,26,93,94,9,0,0
41163,64,5,31,57,80,8,1,0
41163,64,5,33,57,83,8,1,0
41164,15,5,15,55,68,16,0,0
41165,97,5,33,65,70,10,1,0
41165,97,5,33,69,75,10,1,0
41165,97,5,31,68,76,10,1,0
41166,100,5,34,79,76,12,1,0
41166,100,5,33,75,79,12,1,0
41166,100,5,33,84,78,12,1,0
41167,28,5,28,62,74,8,0,0
41168,108,5,35,63,68,4,0,0
41168,108,5,37,75,74,4,0,0
41168,108,5,36,66,77,4,0,0
41169,73,5,38,74,76,10,1,0
41169,73,5,39,66,67,10,1,0
41170,84,5,27,56,63,11,1,0
41170,84,5,28,73,70,11,1,0
41170,84,5,29,75,77,11,1,0
41172,84,5,28,75,81,10,0,1
41172,84,5,30,80,83,10,0,1
41172,84,5,26,76,76,10,0,1
41173,83,5,27,85,79,10,1,1
41173,83,5,28,80,82,10,1,1
41173,83,5,28,83,84,10,1,1
41174,123,5,34,61,71,12,1,1
41174,123,5,27,60,61,12,1,1
41174,123,5,35,55,69,12,1,1
41174,123,5,27,70,73,12,1,1
41176,24,5,24,68,69,43,1,1
41178,49,5,24,88,88,5,0,0
41178,49,5,25,81,79,5,0,0
41179,61,5,32,72,78,5,0,0
41179,61,5,29,74,76,5,0,0
41181,53,5,22,62,70,20,0,0
41181,53,5,21,72,78,20,0,0
41182,37,5,25,62,73,45,1,1
41183,69,5,29,77,81,2,0,0
41183,69,5,32,80,83,2,0,0
41184,49,5,24,75,77,26,0,1
41184,49,5,25,78,79,26,0,1
41185,63,5,28,58,70,20,1,1
41185,63,5,27,65,72,20,1,1
41186,47,5,25,65,71,24,0,1
41186,47,5,22,66,72,24,0,1
41187,98,5,34,81,80,3,0,0
41187,98,5,33,75,70,3,0,0
41187,98,5,31,78,77,3,0,0
41189,54,5,27,79,64,14,0,0
41189,54,5,27,69,64,14,0,0
41190,199,5,37,76,73,7,0,0
41190,199,5,40,80,79,7,0,0
41190,199,5,36,72,79,7,0,0
41190,199,5,37,86,82,7,0,0
41190,199,5,38,71,74,7,0,0
41191,122,5,36,70,73,16,1,0
41191,122,5,35,64,73,16,1,0
41191,122,5,37,66,76,16,1,0
41193,44,5,20,56,69,21,0,1
41193,44,5,24,59,70,21,0,1
41194,80,5,22,82,84,17,1,1
41194,80,5,30,73,78,17,1,1
41194,80,5,28,74,82,17,1,1
41195,111,5,31,79,78,7,1,0
41195,111,5,28,69,70,7,1,0
41195,111,5,31,77,77,7,1,0
41197,98,5,31,76,82,12,1,0
41197,98,5,34,86,80,12,1,0
41197,98,5,33,86,82,12,1,0
41198,51,5,25,81,81,6,1,0
41198,51,5,26,81,78,6,1,0
41199,109,5,37,85,85,5,0,0
41199,109,5,37,77,79,5,0,0
41199,109,5,35,86,85,5,0,0
41202,112,5,38,81,81,4,0,0
41202,112,5,37,85,84,4,0,0
41202,112,5,37,76,79,4,0,0
41203,119,5,39,69,79,7,1,0
41203,119,5,40,79,81,7,1,0
41203,119,5,40,77,77,7,1,0
41206,67,5,34,75,74,10,0,1
41206,67,5,33,71,77,10,0,1
41208,92,5,28,64,80,7,1,1
41208,92,5,26,78,84,7,1,1
41208,92,5,28,75,83,7,1,1
41210,80,5,40,64,64,19,1,0
41210,80,5,40,74,76,19,1,0
41212,96,5,32,70,65,12,1,0
41212,96,5,33,65,72,12,1,0
41212,96,5,31,67,71,12,1,0
41214,21,5,21,54,59,41,0,1
41217,49,5,23,60,62,46,0,1
41217,49,5,26,64,71,46,0,1
41218,28,5,28,70,74,2,0,0
41220,125,5,38,66,78,3,0,0
41220,125,5,40,65,78,3,0,0
41220,125,5,35,67,81,3,0,0
41221,155,5,35,78,81,5,0,0
41221,155,5,37,77,77,5,0,0
41221,155,5,36,78,82,5,0,0
41221,155,5,36,75,83,5,0,0
41225,135,5,32,80,80,8,0,1
41225,135,5,31,81,84,8,0,1
41225,135,5,29,75,80,8,0,1
41225,135,5,32,76,80,8,0,1
41227,36,5,36,64,78,2,1,0
41232,19,5,19,64,80,0,1,0
41234,101,5,34,61,75,5,0,0
41234,101,5,32,62,78,5,0,0
41234,101,5,35,71,78,5,0,0
41236,23,5,23,50,66,33,1,1
41237,19,5,19,71,85,34,1,1
41274,19,5,19,44,44,28,1,1
41275,34,5,34,66,83,4,0,0
41276,92,5,29,84,80,2,0,0
41276,92,5,32,89,86,2,0,0
41276,92,5,31,76,82,2,0,0
41277,80,5,32,60,64,11,1,0
41277,80,5,33,60,66,11,1,0
41282,64,5,30,59,65,14,1,0
41282,64,5,34,55,68,14,1,0
41284,109,5,36,69,72,8,0,0
41284,109,5,37,67,67,8,0,0
41284,109,5,36,63,68,8,0,0
41285,74,5,37,61,59,21,0,0
41285,74,5,37,60,64,21,0,0
41287,111,5,37,73,80,18,0,1
41287,111,5,37,74,81,18,0,1
41287,111,5,37,60,73,18,0,1
41288,37,5,37,60,64,7,1,1
41289,39,5,14,38,47,44,0,1
41289,39,5,25,46,47,44,0,1
41290,79,5,25,70,80,3,0,0
41290,79,5,29,77,76,3,0,0
41290,79,5,25,74,78,3,0,0
41293,100,5,34,79,76,2,1,0
41293,100,5,34,83,78,2,1,0
41293,100,5,32,82,82,2,1,0
41294,57,5,31,69,76,7,0,1
41294,57,5,26,66,80,7,0,1
41296,47,5,24,71,68,33,1,1
41296,47,5,23,73,71,33,1,1
41298,160,5,40,82,76,8,1,0
41298,160,5,40,77,76,8,1,0
41298,160,5,40,74,75,8,1,0
41298,160,5,40,79,73,8,1,0
41303,94,5,31,66,73,14,1,0
41303,94,5,32,69,77,14,1,0
41303,94,5,31,70,75,14,1,0
41304,41,5,21,69,75,15,1,0
41305,19,5,19,86,84,44,0,1
41306,31,5,31,50,58,40,0,0
41308,70,5,26,69,78,9,1,0
41308,70,5,27,66,69,9,1,0
41315,32,5,20,58,62,38,1,1
41316,46,5,23,68,53,20,0,0
41316,46,5,23,56,55,20,0,0
41319,142,5,35,77,83,3,1,0
41319,142,5,33,71,76,3,1,0
41319,142,5,37,81,80,3,1,0
41319,142,5,37,67,76,3,1,0
41324,53,5,27,47,47,31,1,0
41324,53,5,26,47,41,31,1,0
41325,99,5,29,62,61,17,1,0
41325,99,5,29,68,69,17,1,0
41325,99,5,29,65,73,17,1,0
41326,53,5,27,65,67,47,0,1
41326,53,5,26,59,59,47,0,1
41327,55,5,27,72,73,16,1,0
41327,55,5,28,54,67,16,1,0
41329,137,5,33,80,84,4,0,0
41329,137,5,32,75,78,4,0,0
41329,137,5,34,81,81,4,0,0
41329,137,5,30,80,85,4,0,0
41330,109,5,36,78,78,8,0,0
41330,109,5,38,66,67,8,0,0
41330,109,5,35,63,71,8,0,0
41335,81,5,41,77,82,3,1,0
41335,81,5,40,68,78,3,1,0
41336,21,5,21,75,81,3,0,0
41338,38,5,26,28,35,46,0,1
41339,50,5,27,71,76,16,0,1
41339,50,5,23,73,80,16,0,1
41340,117,5,38,75,83,4,1,0
41340,117,5,37,71,79,4,1,0
41340,117,5,36,70,75,4,1,0
41342,79,5,40,84,82,9,0,0
41342,79,5,39,78,78,9,0,0
41343,98,5,35,70,80,6,1,0
41343,98,5,30,66,76,6,1,0
41343,98,5,33,65,77,6,1,0
41344,71,5,33,88,88,0,0,0
41344,71,5,38,87,86,0,0,0
41345,113,5,39,71,73,4,0,0
41345,113,5,36,68,74,4,0,0
41345,113,5,38,78,75,4,0,0
41346,80,5,40,87,82,5,1,0
41346,80,5,40,85,78,5,1,0
41347,96,5,31,75,75,5,0,0
41347,96,5,32,73,75,5,0,0
41347,96,5,33,82,77,5,0,0
41348,172,5,35,74,87,8,1,0
41348,172,5,35,66,81,8,1,0
41348,172,5,34,66,82,8,1,0
41348,172,5,34,72,88,8,1,0
41348,172,5,34,66,82,8,1,0
41362,62,5,30,77,84,4,0,1
41362,62,5,25,63,83,4,0,1
41363,107,5,37,74,80,8,1,0
41363,107,5,35,71,76,8,1,0
41363,107,5,35,77,85,8,1,0
41364,120,5,36,80,80,4,0,0
41364,120,5,36,78,75,4,0,0
41364,120,5,37,68,76,4,0,0
41365,47,5,36,64,67,43,0,0
41366,84,5,37,76,80,8,1,0
41366,84,5,36,71,76,8,1,0
41367,127,5,31,71,82,3,0,0
41367,127,5,33,79,83,3,0,0
41367,127,5,29,80,82,3,0,0
41367,127,5,34,82,84,3,0,0
41368,84,5,37,71,77,16,0,0
41368,84,5,36,73,75,16,0,0
41369,122,5,31,74,81,4,1,1
41369,122,5,30,79,86,4,1,1
41369,122,5,34,78,83,4,1,1
41370,30,5,30,76,83,4,0,1
41371,39,5,39,73,80,5,1,0
41381,66,5,33,67,62,30,1,0
41381,66,5,33,54,64,30,1,0
41382,121,5,40,68,73,9,0,0
41382,121,5,41,68,74,9,0,0
41382,121,5,40,70,75,9,0,0
41383,177,5,35,80,77,2,0,0
41383,177,5,36,82,80,2,0,0
41383,177,5,36,78,79,2,0,0
41383,177,5,34,78,75,2,0,0
41383,177,5,36,73,80,2,0,0
41384,78,5,32,76,81,5,0,1
41385,160,5,40,76,75,6,1,0
41385,160,5,40,71,79,6,1,0
41385,160,5,40,72,79,6,1,0
41385,160,5,40,72,79,6,1,0
41390,120,5,36,83,83,3,0,0
41390,120,5,39,83,83,3,0,0
41390,120,5,35,86,83,3,0,0
41391,113,5,36,69,75,5,0,0
41391,113,5,38,70,77,5,0,0
41391,113,5,39,74,79,5,0,0
41392,56,5,26,55,57,25,0,0
41392,56,5,30,64,67,25,0,0
41394,60,5,30,77,83,3,0,0
41394,60,5,30,79,79,3,0,0
41397,31,5,31,82,84,0,1,0
41398,35,5,35,60,75,8,1,1
41399,68,5,30,75,80,32,1,1
41399,68,5,28,74,78,32,1,1
41400,94,5,30,64,72,3,1,0
41400,94,5,31,69,79,3,1,0
41400,94,5,33,74,81,3,1,0
41402,120,5,36,66,76,4,1,0
41402,120,5,37,72,77,4,1,0
41402,120,5,39,78,81,4,1,0
41403,21,5,21,76,76,14,0,1
41406,85,5,37,56,61,26,0,1
41406,85,5,36,53,59,26,0,1
41407,153,5,40,75,82,1,0,0
41407,153,5,36,68,79,1,0,0
41407,153,5,39,67,74,1,0,0
41407,153,5,38,70,77,1,0,0
41408,73,5,37,67,71,15,0,0
41408,73,5,36,65,69,15,0,0
41409,117,5,38,82,80,2,1,0
41409,117,5,34,86,82,2,1,0
41409,117,5,35,80,83,2,1,0
41411,29,5,29,63,76,32,1,1
41413,96,5,32,68,66,12,0,0
41413,96,5,33,70,77,12,0,0
41413,96,5,31,67,71,12,0,0
41415,63,5,34,77,78,4,1,0
41415,63,5,29,71,75,4,1,0
41417,79,5,40,60,68,10,0,1
41417,79,5,39,68,78,10,0,1
41418,60,5,30,77,83,5,1,1
41419,34,5,34,59,72,6,0,0
41420,104,5,35,68,73,15,0,0
41420,104,5,34,71,69,15,0,0
41420,104,5,35,71,72,15,0,0
41421,23,5,23,42,51,66,0,1
41423,102,5,34,77,80,7,0,0
41423,102,5,37,80,86,7,0,0
41423,102,5,33,75,80,7,0,0
41424,55,5,28,73,73,7,1,0
41424,55,5,27,63,77,7,1,0
41425,116,5,35,66,71,6,0,1
41425,116,5,36,70,76,6,0,1
41425,116,5,35,66,77,6,0,1
41426,105,5,31,77,82,5,0,1
41426,105,5,27,78,84,5,0,1
41426,105,5,31,82,84,5,0,1
41427,51,5,24,57,62,25,1,1
41427,51,5,27,53,62,25,1,1
41431,96,5,32,74,83,1,0,0
41431,96,5,33,78,79,1,0,0
41431,96,5,31,64,77,1,0,0
41432,69,5,33,75,77,16,0,0
41432,69,5,36,69,74,16,0,0
41433,76,5,37,86,77,3,1,0
41433,76,5,39,79,77,3,1,0
41434,116,5,39,60,74,4,0,0
41434,116,5,40,56,67,4,0,0
41434,116,5,37,62,73,4,0,0
41435,111,5,31,80,80,1,0,0
41435,111,5,36,72,78,1,0,0
41435,111,5,32,76,86,1,0,0
41436,120,5,39,80,80,3,1,0
41436,120,5,41,74,75,3,1,0
41436,120,5,40,72,78,3,1,0
41437,61,5,31,74,77,3,0,0
41437,61,5,30,74,80,3,0,0
41440,80,5,40,65,77,2,0,0
41440,80,5,40,73,80,2,0,0
41441,86,5,38,59,68,1,0,0
41441,86,5,38,69,78,1,0,0
41442,76,5,34,61,71,13,1,0
41442,76,5,33,79,83,13,1,0
41443,97,5,32,62,76,5,0,0
41443,97,5,33,62,70,5,0,0
41443,97,5,32,68,73,5,0,0
41444,65,5,34,83,84,1,1,0
41444,65,5,31,78,75,1,1,0
41445,208,5,35,73,81,13,0,1
41445,208,5,35,75,80,13,0,1
41445,208,5,35,67,84,13,0,1
41445,208,5,34,67,80,13,0,1
41445,208,5,33,70,82,13,0,1
41445,208,5,36,67,80,13,0,1
41447,32,5,32,79,84,0,0,1
41448,73,5,33,64,71,8,1,0
41448,73,5,32,65,70,8,1,0
41449,41,5,41,73,79,13,1,1
41450,95,5,29,88,83,1,0,0
41450,95,5,32,79,83,1,0,0
41450,95,5,34,83,83,1,0,0
41452,114,5,26,62,71,30,1,0
41452,114,5,27,68,75,30,1,0
41452,114,5,30,58,63,30,1,0
41456,38,5,38,82,82,6,1,0
41457,70,5,36,74,76,7,0,0
41457,70,5,34,78,78,7,0,0
41458,72,5,36,53,72,6,0,0
41458,72,5,36,55,77,6,0,0
41462,20,5,20,66,77,4,0,1
41468,44,5,22,88,81,4,0,1
41468,44,5,22,79,80,4,0,1
51002,170,5,31,49,61,17,0,0
51002,170,5,32,59,62,17,0,0
51002,170,5,30,52,55,17,0,0
51002,170,5,33,63,65,17,0,0
51002,170,5,33,66,69,17,0,0
51004,61,5,31,61,65,33,0,0
51004,61,5,30,57,58,33,0,0
51005,94,5,30,54,59,31,0,1
51005,94,5,30,63,69,31,0,1
51005,94,5,34,51,61,31,0,1
51006,36,5,16,48,54,25,0,1
51006,36,5,20,39,51,25,0,1
51007,87,5,37,68,79,7,0,0
51007,87,5,37,67,76,7,0,0
51008,5,5,5,74,70,31,0,1
51009,17,5,17,63,67,11,1,0
51010,51,5,26,55,65,27,1,0
51010,51,5,26,55,68,27,1,0
51011,52,5,28,62,67,18,0,0
51011,52,5,24,66,65,18,0,0
51012,28,5,28,62,72,7,1,0
51014,24,5,24,51,69,19,0,1
51015,46,5,21,61,60,34,0,1
51015,46,5,16,61,66,34,0,1
51016,70,5,35,61,77,10,1,1
51016,70,5,35,67,81,10,1,1
51018,22,5,22,32,49,52,1,1
51019,55,5,25,85,85,2,0,1
51019,55,5,30,74,80,2,0,1
51020,37,5,15,40,55,34,0,1
51020,37,5,22,56,64,34,0,1
51021,145,5,38,70,76,9,0,0
51021,145,5,37,74,75,9,0,0
51021,145,5,36,67,68,9,0,0
51021,145,5,34,73,78,9,0,0
51022,73,5,26,55,68,34,0,0
51022,73,5,23,48,62,34,0,0
51023,111,5,36,54,69,10,1,0
51023,111,5,37,56,71,10,1,0
51023,111,5,38,57,66,10,1,0
51025,115,5,38,62,71,17,0,0
51025,115,5,39,65,72,17,0,0
51025,115,5,38,61,70,17,0,0
51026,51,5,26,57,69,18,1,0
51026,51,5,25,56,61,18,1,0
51027,53,5,26,47,62,42,0,1
51027,53,5,27,49,63,42,0,1
51028,57,5,29,54,69,18,1,1
51028,57,5,28,63,75,18,1,1
51031,80,5,40,75,80,2,1,0
51031,80,5,40,77,81,2,1,0
51032,76,5,31,67,83,2,0,0
51032,76,5,31,62,81,2,0,0
51033,53,5,26,72,76,3,0,0
51033,53,5,27,82,84,3,0,0
51034,47,5,22,73,84,3,1,0
51034,47,5,25,76,83,3,1,0
51035,65,5,33,72,75,2,1,0
51035,65,5,35,72,79,2,1,0
51036,49,5,22,82,83,4,1,1
51036,49,5,27,76,79,4,1,1
51038,70,5,35,72,81,3,0,0
51038,70,5,35,71,83,3,0,0
51039,114,5,38,81,84,6,1,0
51039,114,5,39,74,80,6,1,0
51039,114,5,37,76,79,6,1,0
51040,61,5,33,64,75,11,0,0
51040,61,5,28,60,75,11,0,0
51041,129,5,31,77,81,7,0,0
