StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Major ","Interest ","Plan ",Goal,"Context ",Expected Grade,"Home "
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your major?,What is one economics research question or topic that sounds interesting to you?,Do you plan to go to graduate school?,What do you want to get out of this class?,What have you heard about this class?,What grade do you think you will get from this class?,Which US state or country are you from?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4_TEXT""}"
2026-01-02 06:57:46,2026-01-02 07:00:08,IP Address,66.153.201.197,100,142,True,2026-01-02 07:00:08,R_3VCLqCJS4tyPC1e,,,,,33.7387,-78.9762,anonymous,EN,Economics,"Not entirely specific, but micro market trends, consumer behavior, & micro supply/demand interest me.",Maybe,Learn how to better model potential scenarios to use the knowledge in my consulting class.,That itâ€™s a lot of modeling scenarios & group work.,A,South Carolina
2026-01-02 07:34:45,2026-01-02 07:38:36,IP Address,64.98.91.152,100,231,True,2026-01-02 07:38:36,R_13yKDml4JKd7B7P,,,,,35.9825,-78.5376,anonymous,EN,"Economics ",Public policy,Yes,"An understanding for the math that backs up theory and research ","The lab portion makes it very time intensive ",B,"North Carolina "
2026-01-02 07:52:47,2026-01-02 07:54:43,IP Address,98.97.15.116,100,115,True,2026-01-02 07:54:43,R_5hayJSHoO6ajNVw,,,,,41.8835,-87.6305,anonymous,EN,Marketing and Economics,How do you incentivize fair competition within sports? Does the lack of contracts in college sports create chaos or a free market system?,Maybe,"An A and the ability to start economic research ",Itâ€™s hard,A,"California "
2026-01-02 08:34:10,2026-01-02 08:38:30,IP Address,38.82.19.108,100,259,True,2026-01-02 08:38:30,R_3GjEq5lJxXGvaTf,,,,,41.892,-87.6416,anonymous,EN,"Finance and Economics ",How do different degrees of economic freedom affect long-term innovation and human flourishing in capitalist societies?,Yes,"To critically evaluate empirical claims, uncover faulty assumptions, data mining, or biased model specifications.",That it relies heavily on statistics and the use of R Studio,B,"Illinois "
2026-01-02 08:36:33,2026-01-02 08:40:08,IP Address,98.124.107.20,100,215,True,2026-01-02 08:40:09,R_17a5lVvE2U5OCDv,,,,,32.9668,-79.8528,anonymous,EN,Economics,How does econometrics connect to analyzing how policy affects the economy?,Maybe,I just want to understand how math an econ interact on a deeper level.,"Iâ€™ve heard that itâ€™s hard but manageable ",B,South Carolina
2026-01-02 08:38:20,2026-01-02 08:44:48,IP Address,172.58.252.78,100,388,True,2026-01-02 08:44:49,R_6Hw38XoCqkF9HhK,,,,,35.2522,-80.8263,anonymous,EN,"Economics ","Just studying gdp and monetary policy and how that affects consumer spending and inflation ",Maybe,I want to meet new people within my major and hopefully challenge myself within this course.,Nothing about this class specifically but just that the topic of econometrics is fairly challenging.,B,"Washington State  "
2026-01-02 08:54:19,2026-01-02 08:56:07,IP Address,66.6.5.217,100,107,True,2026-01-02 08:56:07,R_6s1J4cdxc140jhc,,,,,45.2141,-96.626,anonymous,EN,"Economics ","Behavioral Economics ",No,"Learn how to use R/Strata ",N/A,A,South Dakota
2026-01-02 09:05:40,2026-01-02 09:07:41,IP Address,173.244.237.201,100,121,True,2026-01-02 09:07:42,R_53yBcMKYRsyVRoF,,,,,34.9334,-81.9689,anonymous,EN,BS Economics,Data analysis,No,"I want to gain skills to go into data analysis rolls at companies, so I guess good coding and stats knowledge.",All I have really heard is that it teaches coding with R.,A,South Carolina
2026-01-02 09:56:41,2026-01-02 10:02:46,IP Address,108.249.84.70,100,364,True,2026-01-02 10:02:47,R_7eVbYZJjtn4JFOp,,,,,33.0273,-80.1768,anonymous,EN,Economics B.S.,How do automation and artificial intelligence affect the labor market and its future?,Yes,Skills and knowledge that I can apply to any professional roles I acquire in the future.,That it is difficult,A,North Carolina
2026-01-02 10:22:37,2026-01-02 10:24:20,IP Address,172.125.55.211,100,102,True,2026-01-02 10:24:20,R_6JvYoJXTRkXCN7H,,,,,32.7863,-80.1055,anonymous,EN,"Economics and Financial Management ",Effects of tariffs on prices/demand,Maybe,A good grade ðŸ˜€ Which of course means a good understanding as well.,That itâ€™s the hardest class I will take in undergrad and that I will need to devote a lot of time to it.,B,South Carolina
2026-01-02 12:41:31,2026-01-02 12:43:16,IP Address,104.28.55.217,100,104,True,2026-01-02 12:43:17,R_3pVDTLzwu4mE2uL,,,,,40.7126,-74.0066,anonymous,EN,Economics,Econometrics,No,Data Organization,Coding based - Analytical approach,B,NJ
2026-01-02 13:26:11,2026-01-02 13:27:17,IP Address,47.185.42.28,100,65,True,2026-01-02 13:27:17,R_6mrVd9w4Nw2Qt8b,,,,,32.9321,-97.2834,anonymous,EN,"Economics and accounting ","Anything micro, game theory is interesting ",Maybe,"Better understanding of the behind the scenes in economics ","Not much, math heavy",A,"Georgia "
2026-01-02 13:49:58,2026-01-02 13:52:01,IP Address,67.21.186.146,100,123,True,2026-01-02 13:52:02,R_6gjAihP0xXe0Jhh,,,,,34.6806,-82.9371,anonymous,EN,Economics,I canâ€™t think of one off the top of my head.,Yes,"A deeper understanding of econometrics, and a passing grade.",Iâ€™ve heard itâ€™s very difficult.,B,North Carolina
2026-01-02 13:58:32,2026-01-02 13:59:44,IP Address,172.58.251.63,100,71,True,2026-01-02 13:59:45,R_7FIzMWMB0JpVoVv,,,,,35.3196,-80.7487,anonymous,EN,"Economics ","Why do people make the financial decisions they do? ",No,The ability to graduate.,"Some coding, difficult. ",A,"Pennsylvania "
2026-01-02 14:35:26,2026-01-02 14:38:59,IP Address,206.74.252.91,100,213,True,2026-01-02 14:39:00,R_1BEZGKA3qVcmMZr,,,,,35.0502,-80.9908,anonymous,EN,Economics,Behavioral economics; studying the psychology behind economic decisions,Yes,A better understanding of economics as a whole and hopefully a good grade,"I've heard that it's pretty difficult, but not impossible",A,South Carolina
2026-01-02 15:51:31,2026-01-02 15:58:25,IP Address,24.197.140.175,100,413,True,2026-01-02 15:58:26,R_7EstkvGjvgR4021,,,,,34.5251,-82.6307,anonymous,EN,"Economics ",Impacts of student debt on career choices and long term earnings after college,Maybe,I want to learn about Econometrics and hopefully advance my knowledge in Economics,"Yes, Iâ€™ve heard that it is intense since the course counts for 4 credits",A,"South Carolina "
2026-01-02 23:30:10,2026-01-02 23:35:39,IP Address,166.196.93.71,100,329,True,2026-01-02 23:35:39,R_3NxJm5wTdWHtQeL,,,,,34.5258,-82.7049,anonymous,EN,Economics,How to set up an empirical economics study,Maybe,Be knowledgeable in econometrics,Yes,A,South Carolina
2026-01-03 10:30:56,2026-01-03 10:32:02,IP Address,12.104.110.8,100,66,True,2026-01-03 10:32:03,R_1mhcehNgUAKRxdL,,,,,32.9247,-96.8917,anonymous,EN,"Economics ","I want to better understand the economics of worker skills ",No,A good grade,"itâ€™s difficult ",B,Texas
2026-01-03 12:20:49,2026-01-03 12:21:54,IP Address,97.75.150.93,100,64,True,2026-01-03 12:21:54,R_15HEU3evoaNVvGF,,,,,34.9334,-81.9689,anonymous,EN,Economics,How are we successfully able to implement the pink tax?,Yes,Help prepare for my future econ classes,That is on the difficult side but doable,A,South Carolina
2026-01-04 19:21:09,2026-01-04 19:28:20,IP Address,172.59.217.210,100,431,True,2026-01-04 19:28:21,R_1Puyt6DWX4CrFVT,,,,,35.2227,-80.7938,anonymous,EN,Economics,"I understand there is an overly common misuse of OLS and other methods when they should not be used. Or, why we treat risk as symmetric even though humans treat downside and upside risk differently. ",Maybe,I want to learn.,"Having a professor who cares makes a big difference ",A,Washington state
2026-01-05 13:07:02,2026-01-05 13:30:49,IP Address,130.127.255.220,100,1426,True,2026-01-05 13:30:50,R_3b3pIBf4aSydev6,,,,,34.6805,-82.8231,anonymous,EN,Economics,"If AGI is around the corner, what will be the long-term economic impact?",Maybe,"I aim to acquire the knowledge, skills, and tools necessary to challenge my logic, guide me in asking the right questions, and help me find practical solutions.",I've heard it's an interesting course.,A,I'm from the U.S.
2026-01-05 19:21:38,2026-01-05 19:29:41,IP Address,104.48.43.186,100,482,True,2026-01-05 19:29:41,R_5Q0gP7ExctVoTCB,,,,,34.6805,-82.8231,anonymous,EN,Economics," Stimulus checks in different regions of America. (Low , middle, and high income) To what extent are they helpful?",Yes,"I hope to learn about current economic conditions, different externalities certain markets can cause, and how to manage those externalities. Overall, I want to grow as an aspiring economist.",I havenâ€™t heard much except that we will be learning different softwares to use for economic research.,A,"South Carolina "
